AB,AD,AN,AU,C1,C2,DA,DB,DO,DP,ET,ID,IS,KW,L1,LA,N1,PY,SE,SN,SP,ST,T2,TI,TY,UR,VL
"In deciduous fruit trees in which dormancy is induced by low temperatures, the expression of DORMACY-ASSOCIATED MADS-BOX genes (DAM) is regulated by CBF/DREB1 transcription factors. In Vitis vinifera, in which dormancy is induced by the photoperiod, VvDAM-SVPs gene expression is regulated by FLOWERING LOCUS T (VvFT). Using the sequences of the six peach (Prunus persica) DORMACY-ASSOCIATED MADS-box genes (DAM) as query, eight putative DAM genes belonging to the family of MADS-box transcription factors and related to the Arabidopsis floral regulators SHORT VEGETATIVE PHASE (SVP) and AGAMOUS LIKE 24 (AGL24) were identified in the V. vinifera genome. Among these, five belong to the subfamily SVP-like genes which have been associated with the regulation of flowering and dormancy in annual and perennial plants, respectively. It has been proposed that they play a direct role in the induction and maintenance of endodormancy (ED) through the regulation of the FLOWERING LOCUS T (FT) gene. In the present study, it is demonstrated that in V. vinifera: (1) VvDAM-SVPs genes are not regulated by ABA/low temperature-induced VvCBFs transcription factors as described for other species of deciduous fruit trees. (2) A contrasting expression pattern between VvDAM3-SVP and VvFT was found under different experimental conditions related to the entry and exit of grapevine buds from ED. (3) Overexpression of VvFT in somatic grapevine embryos (SGE) repressed the expression of VvDAM3-SVP and VvDAM4-SVP. Taken together, the results suggest that VvDAM3-SVP could be associated with ED in grapevine buds, and that its expression could be regulated by VvFT.","Fac. Ciencias, Lab. de Bioquimica Vegetal, Universidad de Chile, Casilla 653, Santiago, Chile.",33438039,"Vergara, R. | Noriega, X. | Perez, F. J.",,,Jan 12,Medline,10.1007/s00425-020-03561-5,NLM,20210112,822,2,Cold Temperature,internal-pdf://3553869403/Vergara-2021.pdf,,"Vergara, Ricardo",2021,,1432-2048 (Electronic),31,VvDAM-SVPs genes are regulated by FLOWERING LOCUS T (VvFT) and not by ABA/low temperature-induced VvCBFs transcription factors in grapevine buds,Planta,VvDAM-SVPs genes are regulated by FLOWERING LOCUS T (VvFT) and not by ABA/low temperature-induced VvCBFs transcription factors in grapevine buds,JOUR,https://www.ncbi.nlm.nih.gov/pubmed/33438039,253
"We review functional data on MADS-box genes, recent phylogenetic analyses of these coding regions, and their roles in the development and evolution of key morphological innovations in plants. We map the origin of important morphological structures in particular diverse stages of the life cycle in different plant clades onto organismal phylogenies, and present relevant molecular genetic aspects of development related to the MADS-box genes. We focus on reproductive structures of the sporophyte because most functional characterizations have been done of MADS-box genes involved in flower development. We discuss MADS-box evolution in flowering plants, but we also review studies in the other nonflowering vascular plants, gymnosperms (conifers and gnetales), and ferns and preliminary data from the algae. We suggest that floral (e.g. flowering time, inflorescence, and flower meristem identity) MADS-box and nonfloral plant MADS-box genes should be the focus of future comparative research. Cloning and functional analyses of MADS-box genes in bryophytes, particularly in the experimental system Physcomitrella patens (Hedw.) B.S.G., are needed. The ABC model of floral organ specification is an excellent general representation of an important network of genes; however, formal analytical tools are required to integrate data on complex gene interaction in comparative analyses. This and other analytical approaches to constructing gene network models will help to frame homology hypotheses in an evolutionary and developmental framework.",,,"Vergara-Silva, Francisco | Martínez-Castilla, León | Alvarez-Buylla, Elena R.",,,,,10.1046/j.1529-8817.2000.03654.x,,,1959,5,,internal-pdf://3862120563/Vergara-Silva-2000.pdf,,,2000,,0022-3646,803-812,MADS-BOX GENES: DEVELOPMENT AND EVOLUTION OF PLANT BODY PLANS,Journal of Phycology,MADS-BOX GENES: DEVELOPMENT AND EVOLUTION OF PLANT BODY PLANS,JOUR,https://onlinelibrary.wiley.com/doi/abs/10.1046/j.1529-8817.2000.03654.x,36
"Recent investigations on metazoan transcription factors (TFs) indicate that single-gene duplication events and the gain and loss of protein domains are 2 crucial factors in shaping their protein-protein interaction networks. Plant genomes, on the other hand, have a history of polyploidy and whole-genome duplications (WGDs), and thus, their study helps to understand whether WGDs have also had a significant influence on protein network evolution. Here we investigate the evolution of the interaction network in the well-studied MADS domain MIKC-type proteins, a TF family which plays an important role in both the vegetative and the reproductive phases of plant life. We combine phylogenetic reconstruction, protein domain analysis, and interaction data from different species. We show that, unlike previously analyzed interaction networks, the MIKC-type protein network displays a characteristic topology, with overall high inter-subfamily connectivity, shared interactors between paralogs, and conservation of interaction patterns across species. The evaluation of the number of MIKC-type proteins at key time points throughout the evolution of land plants in the lineage leading to Arabidopsis suggested that most duplicates were retained after each round of WGD. We provide evidence that an initial network, formed by 9-11 homodimerizing proteins interacting with each other, existed in the common ancestor of all seed plants. This basic structure has been conserved after each round of WGD, adding layers of paralogs with similar interaction patterns. We thus present the first model where we can show that a network of eukaryotic TFs has evolved via rounds of WGD. Furthermore, we found that in subfamilies in which the K domain is most diverged, the interactions with other subfamilies have been largely lost. We discuss the possibility that such a high proportion of genes were retained after each WGD because of their capacity to form higher order complexes involving proteins from different subfamilies. The simultaneous duplications allowed for the conservation of the quantitative balance between the constituents and facilitated sub- and neofunctionalization through differential expression of whole units.","Division of Bioinformatics, Institute for Evolution and Biodiversity, The Westphalian Wilhelms University of Munster, Munster, Germany. averon@uni-muenster.de",17175526,"Veron, A. S. | Kaufmann, K. | Bornberg-Bauer, E.",,,Mar,Medline,10.1093/molbev/msl197,NLM,20061214,777,3,Computational Biology,internal-pdf://0407405279/Veron-2007.pdf,,"Veron, Amelie S",2007,,0737-4038 (Print),670-8,Evidence of interaction network evolution by whole-genome duplications: a case study in MADS-box proteins,Mol Biol Evol,Evidence of interaction network evolution by whole-genome duplications: a case study in MADS-box proteins,JOUR,https://www.ncbi.nlm.nih.gov/pubmed/17175526,24
"Maturation imposes several changes in plants, which are particularly drastic in the case of trees. In recalcitrant woody species, such as chestnut (Castanea sativa Mill.), one of the major maturation-related shifts is the loss of the ability to form adventitious roots in response to auxin treatment as the plant ages. To analyze the molecular mechanisms underlying this phenomenon, an in vitro model system of two different lines of microshoots derived from the same field-grown tree was established. While juvenile-like shoots root readily when treated with exogenous auxin, microshoots established from the crown of the tree rarely form roots. In the present study, a transcriptomic analysis was developed to compare the gene expression patterns in both types of shoots 24 h after hormone and wounding treatment, matching the induction phase of the process. Our results support the hypothesis that the inability of adult chestnut tissues to respond to the inductive treatment relies in a deep change of gene expression imposed by maturation that results in a significant transcriptome modification. Differences in phytohormone signaling seem to be the main cause for the recalcitrant behavior of mature shoots, with abscisic acid and ethylene negatively influencing the rooting ability of the chestnut plants. We have identified a set of related MADS-box genes whose expression is modified but not suppressed by the inductive treatment in mature shoots, suggesting a putative link of their activity with the rooting-recalcitrant behavior of this material. Overall, distinct maturation-derived auxin sensibility and homeostasis, and the related modifications in the balance with other phytohormones, seem to govern the outcome of the process in each type of shoots.","Mision Biologica de Galicia, Consejo Superior de Investigaciones Cientificas, 15780 Santiago de Compostela, Spain.",36559597,"Vielba, J. M. | Rico, S. | Sevgin, N. | Castro-Camba, R. | Covelo, P. | Vidal, N. | Sanchez, C.",The authors declare no conflict of interest.,PMC9786281,Dec 13,PubMed-not-MEDLINE,10.3390/plants11243486,NLM,20221213,1116,24,adventitious rooting,internal-pdf://0310123202/Vielba-2022.pdf,,"Vielba, Jesus M feminine",2022,,2223-7747 (Print),,Transcriptomics Analysis Reveals a Putative Role for Hormone Signaling and MADS-Box Genes in Mature Chestnut Shoots Rooting Recalcitrance,Plants (Basel),Transcriptomics Analysis Reveals a Putative Role for Hormone Signaling and MADS-Box Genes in Mature Chestnut Shoots Rooting Recalcitrance,JOUR,https://www.ncbi.nlm.nih.gov/pubmed/36559597,11
"Temperate perennials require exposure to chilling temperatures to resume growth in the following spring. Growth and dormancy cycles are controlled by complex genetic regulatory networks and are governed by epigenetic mechanisms, but the specific genes and mechanisms remain poorly understood. To understand how seasonal changes and chilling regulate dormancy and growth in the woody perennial vine kiwifruit (Ac, Actinidia chinensis), a transcriptome study of kiwifruit buds in the field and controlled conditions was performed. A MADS-box gene with homology to Arabidopsis FLOWERING LOCUS C (FLC) was identified and characterized. Elevated expression of AcFLC-like (AcFLCL) was detected during bud dormancy and chilling. A long noncoding (lnc) antisense transcript with an expression pattern opposite to AcFLCL and shorter sense noncoding RNAs were identified. Chilling induced an increase in trimethylation of lysine-4 of histone H3 (H3K4me3) in the 5' end of the gene, indicating multiple layers of epigenetic regulation in response to cold. Overexpression of AcFLCL in kiwifruit gave rise to plants with earlier budbreak, whilst gene editing using CRISPR-Cas9 resulted in transgenic lines with substantially delayed budbreak, suggesting a role in activation of growth. These results have implications for the future management and breeding of perennials for resilience to changing climate.","The New Zealand Institute for Plant and Food Research Limited (Plant & Food Research) Mt Albert, Private Bag 92169, Auckland Mail Centre, Auckland, 1142, New Zealand.",34907541,"Voogd, C. | Brian, L. A. | Wu, R. | Wang, T. | Allan, A. C. | Varkonyi-Gasic, E.",,,Mar,Medline,10.1111/nph.17916,NLM,20220104,1661,5,*Actinidia/genetics/metabolism,internal-pdf://1911165193/Charlotte-2021.pdf,,"Voogd, Charlotte",2022,,1469-8137 (Electronic),2111-2126,A MADS-box gene with similarity to FLC is induced by cold and correlated with epigenetic changes to control budbreak in kiwifruit,New Phytol,A MADS-box gene with similarity to FLC is induced by cold and correlated with epigenetic changes to control budbreak in kiwifruit,JOUR,https://www.ncbi.nlm.nih.gov/pubmed/34907541,233
"Tomato plants harboring the ripening-inhibitor (rin) mutation yield fruits that fail to ripen. Additionally, rin plants display enlarged sepals and loss of inflorescence determinacy. Positional cloning of the rin locus revealed two tandem MADS-box genes (LeMADS-RIN and LeMADS-MC), whose expression patterns suggested roles in fruit ripening and sepal development, respectively. The rin mutation alters expression of both genes. Gene repression and mutant complementation demonstrate that LeMADS-RIN regulates ripening, whereas LeMADS-MC affects sepal development and inflorescence determinacy. LeMADS-RIN demonstrates an agriculturally important function of plant MADS-box genes and provides molecular insight into nonhormonal (developmental) regulation of ripening.","U.S. Department of Agriculture-Agricultural Research Service (USDA-ARS) Plant, Soil and Nutrition Lab and Boyce Thompson Institute for Plant Research, Cornell University, Ithaca, NY 14853, USA.",11951045,"Vrebalov, J. | Ruezinsky, D. | Padmanabhan, V. | White, R. | Medrano, D. | Drake, R. | Schuch, W. | Giovannoni, J.",,,Apr 12,Medline,10.1126/science.1068181,NLM,,464,5566,Chromosome Mapping,internal-pdf://2743654559/Vrebalov-2002.pdf,,"Vrebalov, Julia",2002,,1095-9203 (Electronic),343-6,A MADS-box gene necessary for fruit ripening at the tomato ripening-inhibitor (rin) locus,Science,A MADS-box gene necessary for fruit ripening at the tomato ripening-inhibitor (rin) locus,JOUR,https://www.ncbi.nlm.nih.gov/pubmed/11951045,296
"Arabidopsis root architecture is highly responsive to changes in the nitrogen supply. External NO(3)(-) stimulates lateral root growth via a signalling pathway involving the ANR1 MADS box transcription factor, while the presence of exogenous l-glutamate (Glu) at the primary root tip slows primary root growth and stimulates root branching. We have found that NO(3)(-), in conjunction with Glu, has a hitherto unrecognized role in regulating the growth of primary roots. Nitrate was able to stimulate primary root growth, both directly and by antagonising the inhibitory effect of Glu. Each response depended on direct contact between the primary root tip and the NO(3)(-), and was not elicited by an alternative N source (NH(4)(+)). The chl1-5 mutant, which is defective in the NRT1.1 (CHL1) NO(3)(-) transporter, was insensitive to NO(3)(-) antagonism of Glu signalling, while an anr1 mutant retained its sensitivity. Sensitivity to NO(3)(-) was restored in a chl1-5 mutant constitutively expressing NRT1.1. However, expression in chl1-5 of a transport-competent but non-phosphorylatable form of NRT1.1 not only failed to restore NO(3)(-) sensitivity but also had a dominant-negative effect on Glu sensitivity. Our results indicate the existence of a NO(3)(-) signalling pathway at the primary root tip that can antagonise the root's response to Glu, and they further suggest that NRT1.1 has a direct NO(3)(-) sensing role in this pathway. We discuss how the observed signalling interactions between NO(3)(-) and Glu could provide a mechanism for modulating root architecture in response to changes in the relative abundance of organic and inorganic N.","Lancaster Environment Centre, Department of Biological Sciences, Lancaster University, Lancaster LA1 4YQ, UK.",18266918,"Walch-Liu, P. | Forde, B. G.",,,Jun,Medline,10.1111/j.1365-313X.2008.03443.x,NLM,20080207,1342,5,Anion Transport Proteins/*physiology,internal-pdf://0390538160/Walch-Liu-2008.pdf,,"Walch-Liu, Pia",2008,,1365-313X (Electronic),820-8,Nitrate signalling mediated by the NRT1.1 nitrate transporter antagonises L-glutamate-induced changes in root architecture,Plant J,Nitrate signalling mediated by the NRT1.1 nitrate transporter antagonises L-glutamate-induced changes in root architecture,JOUR,https://www.ncbi.nlm.nih.gov/pubmed/18266918,54
"Postzygotic lethality of interspecies hybrids can result from differences in gene expression, copy number, or coding sequence and can be overcome by altering parental genome dosage. In crosses between Arabidopsis thaliana and A. arenosa, embryo arrest is associated with endosperm hyperproliferation and delayed development similar to paternal-excess interploidy crosses and polycomb-repressive complex (PRC) mutants. Failure is accompanied by parent-specific loss of gene silencing including the dysregulation of three genes suppressed by PRC. Increasing the maternal genome dosage rescues seed development and gene silencing. A gene set upregulated in the failing seed transcriptome encoded putative AGAMOUS-LIKE MADS domain transcription factors (AGL) that were expressed in normal early endosperm and were shown to interact in a previous yeast 2-hybrid analysis. Suppression of these AGL's expression upon cellularization required PRC. Preceding seed failure, expression of the PRC member FIS2 decreased concomitant with overexpression of the AGL cluster. Inactivating two members, AGL62 and AGL90, attenuated the postzygotic barrier between A. thaliana and A. arenosa. We present a model where dosage-sensitive loss of PRC function results in a dysregulated AGL network, which is detrimental for early seed development.","Department of Plant Biology, University of California at Davis, Davis, CA 95616, USA.",19559614,"Walia, H. | Josefsson, C. | Dilkes, B. | Kirkbride, R. | Harada, J. | Comai, L.",,PMC6754343,Jul 14,Medline,10.1016/j.cub.2009.05.068,NLM,20090625,1045,13,Arabidopsis/*genetics/metabolism,internal-pdf://1790411260/Walia-2009.pdf,,"Walia, Harkamal",2009,,1879-0445 (Electronic),1128-32,Dosage-dependent deregulation of an AGAMOUS-LIKE gene cluster contributes to interspecific incompatibility,Curr Biol,Dosage-dependent deregulation of an AGAMOUS-LIKE gene cluster contributes to interspecific incompatibility,JOUR,https://www.ncbi.nlm.nih.gov/pubmed/19559614,19
"The distribution of elite soybean (Glycine max) cultivars is limited due to their highly sensitive to photoperiod, which affects the flowering time and plant architecture. The recent emergence of CRISPR/Cas9 technology has uncovered new opportunities for genetic manipulation of soybean. The major maturity gene E1 of soybean plays a critical role in soybean photoperiod response. Here, we performed CRISPR/Cas9-mediated targeted mutation of E1 gene in soybean cultivar Tianlong1 carrying the dominant E1 to investigate its precise function in photoperiod regulation, especially in plant architecture regulation. Four types of mutations in the E1 coding region were generated. No off-target effects were observed, and homozygous trans-clean mutants without T-DNA were obtained. The photoperiod sensitivity of e1 mutants decreased relative to the wild type plants; however, e1 mutants still responded to photoperiod. Further analysis revealed that the homologs of E1, E1-La, and E1-Lb, were up-regulated in the e1 mutants, indicating a genetic compensation response of E1 and its homologs. The e1 mutants exhibited significant changes in the architecture, including initiation of terminal flowering, formation of determinate stems, and decreased branch numbers. To identify E1-regulated genes related to plant architecture, transcriptome deep sequencing (RNA-seq) was used to compare the gene expression profiles in the stem tip of the wild-type soybean cultivar and the e1 mutants. The expression of shoot identity gene Dt1 was significantly decreased, while Dt2 was significantly upregulated. Also, a set of MADS-box genes was up-regulated in the stem tip of e1 mutants which might contribute to the determinate stem growth habit.","State Key Laboratory of Black Soils Conservation and Utilization, Northeast Institute of Geography and Agroecology, Chinese Academy of Sciences, Harbin, China.",36589055,"Wan, Z. | Liu, Y. | Guo, D. | Fan, R. | Liu, Y. | Xu, K. | Zhu, J. | Quan, L. | Lu, W. | Bai, X. | Zhai, H.",The authors declare that the research was conducted in the absence of any commercial or financial relationships that could be construed as a potential conflict of interest.,PMC9794841,,PubMed-not-MEDLINE,10.3389/fpls.2022.1066820,NLM,20221214,1028,,CRISPR/Cas9,internal-pdf://4110680963/Wan-2022.pdf,,"Wan, Zhao",2022,,1664-462X (Print),1066820,"CRISPR/Cas9-mediated targeted mutation of the E1 decreases photoperiod sensitivity, alters stem growth habits, and decreases branch number in soybean",Front Plant Sci,"CRISPR/Cas9-mediated targeted mutation of the E1 decreases photoperiod sensitivity, alters stem growth habits, and decreases branch number in soybean",JOUR,https://www.ncbi.nlm.nih.gov/pubmed/36589055,13
"Longan (Dimocarpus longan Lour.) is an important economic crop widely planted in tropical and subtropical regions, and flower and fruit development play decisive effects on the longan yield and fruit quality formation. MCM1, AGAMOUS, DEFICIENS, Serum Response Factor (MADS)-box transcription factor family plays important roles for the flowering time, floral organ identity, and fruit development in plants. However, there is no systematic information of MADS-box family in longan. In this study, 114 MADS-box genes were identified from the longan genome, phylogenetic analysis divided them into type I (Malpha, Mbeta, Mgamma) and type II (MIKC*, MIKC (C) ) groups, and MIKC (C) genes were further clustered into 12 subfamilies. Comparative genomic analysis of 12 representative plant species revealed the conservation of type II in Sapindaceae and analysis of cis-elements revealed that Dof transcription factors might directly regulate the MIKC (C) genes. An ABCDE model was proposed for longan based on the phylogenetic analysis and expression patterns of MADS-box genes. Transcriptome analysis revealed that MIKC (C) genes showed wide expression spectrums, particularly in reproductive organs. From 35 days after KClO(3) treatment, 11 MIKC genes were up-regulated, suggesting a crucial role in off-season flower induction, while DlFLC, DlSOC1, DlSVP, and DlSVP-LIKE may act as the inhibitors. The gene expression patterns of longan fruit development indicated that DlSTK, DlSEP1/2, and DlMADS53 could be involved in fruit growth and ripening. This paper carried out the whole genome identification and analysis of the longan MADS-box family for the first time, which provides new insights for further understanding its function in flowers and fruit.","Center for Genomics and Biotechnology, Haixia Institute of Science and Technology, Fujian Provincial Key Laboratory of Haixia Applied Plant Systems Biology, College of Life Sciences, Fujian Agriculture and Forestry University, Fuzhou, China.",35154209,"Wang, B. | Hu, W. | Fang, Y. | Feng, X. | Fang, J. | Zou, T. | Zheng, S. | Ming, R. | Zhang, J.",The authors declare that the research was conducted in the absence of any commercial or financial relationships that could be construed as a potential conflict of interest.,PMC8829350,,PubMed-not-MEDLINE,10.3389/fpls.2021.813798,NLM,20220127,15,,ABCDE model,internal-pdf://2478499907/Wang-2021.pdf,,"Wang, Baiyu",2021,,1664-462X (Print),813798,Comparative Analysis of the MADS-Box Genes Revealed Their Potential Functions for Flower and Fruit Development in Longan (Dimocarpus longan),Front Plant Sci,Comparative Analysis of the MADS-Box Genes Revealed Their Potential Functions for Flower and Fruit Development in Longan (Dimocarpus longan),JOUR,https://www.ncbi.nlm.nih.gov/pubmed/35154209,12
"Optimal inflorescence architecture is important for plant reproductive success by affecting the ultimate number of flowers that set fruits and for plant competitiveness when interacting with biotic or abiotic conditions. The pedicel is one of the key contributors to inflorescence architecture diversity. To date, knowledge about the molecular mechanisms of pedicel development is derived from Arabidopsis. Not much is known regarding other plants. Here, an SVP family MADS-box gene, NtSVP, in tobacco (Nicotiana tabacum) that is required for pedicel elongation was identified. It is shown that knockdown of NtSVP by RNA interference (RNAi) caused elongated pedicels, while overexpression resulted in compact inflorescences with much shortened pedicels. Moreover, an Arabidopsis BREVIPEDECELLUS/KNAT1 homologue NtBP-Like (NtBPL) was significantly up-regulated in NtSVP-RNAi plants. Disruption of NtBPL decreased pedicel lengths and shortened cortex cells. Consistent with the presence of a CArG-box at the NtBPL promoter, the direct binding of NtSVP to the NtBPL promoter was demonstrated by yeast one-hybrid assay, electrophoretic mobility shift assay, and dual-luciferase assay, in which NtSVP may act as a repressor of NtBPL. Microarray analysis showed that down-regulation of NtBPL resulted in differential expression of genes associated with a number of hormone biogenesis and signalling genes such as those for auxin and gibberellin. These findings together suggest the function of a MADS-box transcription factor in plant pedicel development, probably via negative regulation of a BP-like class I KNOX gene. The present work thus postulates the conservation and divergence of the molecular regulatory pathways underlying the development of plant inflorescence architecture.","National Key Facility for Crop Gene Resources and Genetic Improvement (NFCRI), MOA Key Laboratory of Crop Germplasm and Biotechnology, Institute of Crop Science, Chinese Academy of Agricultural Sciences (CAAS), Beijing 100081, China.",26175352,"Wang, D. | Chen, X. | Zhang, Z. | Liu, D. | Song, G. | Kong, X. | Geng, S. | Yang, J. | Wang, B. | Wu, L. | Li, A. | Mao, L.",,PMC4588881,Oct,Medline,10.1093/jxb/erv332,NLM,20150714,481,20,*Gene Expression Regulation,internal-pdf://1270551295/Wang-2015.pdf,,"Wang, Di",2015,,1460-2431 (Electronic),6233-44,A MADS-box gene NtSVP regulates pedicel elongation by directly suppressing a KNAT1-like KNOX gene NtBPL in tobacco (Nicotiana tabacum L.),J Exp Bot,A MADS-box gene NtSVP regulates pedicel elongation by directly suppressing a KNAT1-like KNOX gene NtBPL in tobacco (Nicotiana tabacum L.),JOUR,https://www.ncbi.nlm.nih.gov/pubmed/26175352,66
"BACKGROUND: Cunninghamia lanceolata (Chinese fir), a member of the conifer family Cupressaceae, is one of the most popular cultivated trees for wood production in China. Continuous research is being performed to improve C. lanceolata breeding values. Given the high rate of seed abortion (one of the reasons being the failure of ovule and pollen development) in C. lanceolata, the proper formation of female/male cones could theoretically increase the number of offspring in future generations. MIKC MADS-box genes are well-known for their roles in the flower/cone development and comprise the typical/atypical floral development model for both angiosperms and gymnosperms. RESULTS: We performed a transcriptomic analysis to find genes differentially expressed between female and male cones at a single, carefully determined developmental stage, focusing on the MIKC MADS-box genes. We finally obtained 47 unique MIKC MADS-box genes from C. lanceolata and divided these genes into separate branches. 27 out of the 47 MIKC MADS-box genes showed differential expression between female and male cones, and most of them were not expressed in leaves. Out of these 27 genes, most B-class genes (AP3/PI) were up-regulated in the male cone, while TM8 genes were up-regulated in the female cone. Then, with no obvious overall preference for AG (class C + D) genes in female/male cones, it seems likely that these genes are involved in the development of both cones. Finally, a small number of genes such as GGM7, SVP, AGL15, that were specifically expressed in female/male cones, making them candidate genes for sex-specific cone development. CONCLUSIONS: Our study identified a number of MIKC MADS-box genes showing differential expression between female and male cones in C. lanceolata, illustrating a potential link of these genes with C. lanceolata cone development. On the basis of this, we postulated a possible cone development model for C. lanceolata. The gene expression library showing differential expression between female and male cones shown here, can be used to discover unknown regulatory networks related to sex-specific cone development in the future.","Key Laboratory of Forestry Genetics & Biotechnology of Ministry of Education, Co-Innovation Center for Sustainable Forestry in Southern China, Nanjing Forestry University, Nanjing, 210037, China.",33153428,"Wang, D. | Hao, Z. | Long, X. | Wang, Z. | Zheng, X. | Ye, D. | Peng, Y. | Wu, W. | Hu, X. | Wang, G. | Zheng, R. | Shi, J. | Chen, J.",The authors declare that they have no competing interests.,PMC7643283,Nov 5,Medline,10.1186/s12870-020-02634-7,NLM,20201105,200,1,Cunninghamia/*genetics/growth & development/ultrastructure,internal-pdf://0504038566/Wang-2020.pdf,,"Wang, Dandan",2020,,1471-2229 (Electronic),508,The Transcriptome of Cunninghamia lanceolata male/female cone reveal the association between MIKC MADS-box genes and reproductive organs development,BMC Plant Biol,The Transcriptome of Cunninghamia lanceolata male/female cone reveal the association between MIKC MADS-box genes and reproductive organs development,JOUR,https://www.ncbi.nlm.nih.gov/pubmed/33153428,20
"Phytochromes play vital roles in the regulation of flowering time, but little is known in Panicoideae species, especially the C(4) model Setaria. Here, genomic variations of PHYTOCHROME C (PHYC) between wild and cultivated Setaria gene pools were analysed and three SiphyC mutants were identified. The function of SiPHYC was verified by CRISPR-Cas9 approach and transcriptome sequencing. Furthermore, efficiency of indoor cultivation of SiphyC mutants were systematically evaluated. An extreme purified selection of PHYC was detected in wild to cultivated domestication process of Setaria. SiphyC mutants and knockout transgenic plants showed an early heading date and a loss of response to short-day photoperiod. Furthermore, variable expression of SiFTa, SiMADS14 and SiMADS15 might be responsible for promoting flowering of SiphyC mutants. Moreover, SiphyC mutant was four times that of the indoor plot ratio of wild-type and produced over 200 seeds within 45 d per individual. Our results suggest that domestication-associated SiPHYC repressed flowering and determined Setaria as a short-day plant, and SiphyC mutants possess the potential for creating efficient indoor cultivation system suitable for research on Setaria as a model, and either for maize or sorghum as well.","Institute of Crop Sciences, Chinese Academy of Agricultural Sciences, Beijing, 100081, China.",36178253,"Wang, H. | Jia, G. | Zhang, N. | Zhi, H. | Xing, L. | Zhang, H. | Sui, Y. | Tang, S. | Li, M. | Zhang, H. | Feng, B. | Wu, C. | Diao, X.",,,Dec,Medline,10.1111/nph.18493,NLM,20220930,1663,5,*Phytochrome/metabolism,internal-pdf://3130390643/Hailong-2022.pdf,,"Wang, Hailong",2022,,1469-8137 (Electronic),1809-1823,Domestication-associated PHYTOCHROME C is a flowering time repressor and a key factor determining Setaria as a short-day plant,New Phytol,Domestication-associated PHYTOCHROME C is a flowering time repressor and a key factor determining Setaria as a short-day plant,JOUR,https://www.ncbi.nlm.nih.gov/pubmed/36178253,236
"Polycomb repressive complexes (PRCs) play crucial roles in transcriptional repression and developmental regulation in both plants and animals. In plants, depletion of different members of PRCs causes both overlapping and unique phenotypic defects. However, the underlying molecular mechanism determining the target specificity and functional diversity is not sufficiently characterized. Here, we quantitatively compared changes of tri-methylation at H3K27 in Arabidopsis mutants deprived of various key PRC components. We show that CURLY LEAF (CLF), a major catalytic subunit of PRC2, coordinates with different members of PRC1 in suppression of distinct plant developmental programs. We found that expression of flower development genes is repressed in seedlings preferentially via non-redundant role of CLF, which specifically associated with LIKE HETEROCHROMATIN PROTEIN1 (LHP1). In contrast, expression of embryo development genes is repressed by PRC1-catalytic core subunits AtBMI1 and AtRING1 in common with PRC2-catalytic enzymes CLF or SWINGER (SWN). This context-dependent role of CLF corresponds well with the change in H3K27me3 profiles, and is remarkably associated with differential co-occupancy of binding motifs of transcription factors (TFs), including MADS box and ABA-related factors. We propose that different combinations of PRC members distinctively regulate different developmental programs, and their target specificity is modulated by specific TFs.","National Laboratory of Plant Molecular Genetics, CAS Center for Excellence in Molecular Plant Sciences, Institute of Plant Physiology and Ecology, Shanghai Institutes for Biological Sciences, Chinese Academy of Sciences, Shanghai, China.",26760036,"Wang, H. | Liu, C. | Cheng, J. | Liu, J. | Zhang, L. | He, C. | Shen, W. H. | Jin, H. | Xu, L. | Zhang, Y.",The authors have declared that no competing interests exist.,PMC4711971,Jan,Medline,10.1371/journal.pgen.1005771,NLM,20160113,272,1,Arabidopsis,internal-pdf://1846164556/Wang-2016.pdf,,"Wang, Hua",2016,,1553-7404 (Electronic),e1005771,Arabidopsis Flower and Embryo Developmental Genes are Repressed in Seedlings by Different Combinations of Polycomb Group Proteins in Association with Distinct Sets of Cis-regulatory Elements,PLoS Genet,Arabidopsis Flower and Embryo Developmental Genes are Repressed in Seedlings by Different Combinations of Polycomb Group Proteins in Association with Distinct Sets of Cis-regulatory Elements,JOUR,https://www.ncbi.nlm.nih.gov/pubmed/26760036,12
"The FT gene integrates several external and endogenous cues controlling flowering, including information on day length. A complex of the mobile FT protein and the bZIP transcription factor FD in turn has a central role in activating genes that execute the switch from vegetative to reproductive development. Here we reveal that microRNA156-targeted SQUAMOSA PROMOTER BINDING PROTEIN-LIKE (SPL) genes not only act downstream of FT/FD, but also define a separate endogenous flowering pathway. High levels of miR156 in young plants prevent precocious flowering. A subsequent day length-independent decline in miR156 abundance provides a permissive environment for flowering and is paralleled by a rise in SPL levels. At the shoot apex, FT/FD and SPLs converge on an overlapping set of targets, with SPLs directly activating flower-promoting MADS box genes, providing a molecular substrate for both the redundant activities and the feed-forward action of the miR156/SPL and FT/FD modules in flowering control.","Department of Molecular Biology, Max Planck Institute for Developmental Biology, D-72076 Tubingen, Germany.",19703399,"Wang, J. W. | Czech, B. | Weigel, D.",,,Aug 21,Medline,10.1016/j.cell.2009.06.014,NLM,,167,4,Arabidopsis/genetics/*growth & development/*metabolism,internal-pdf://3967525996/Wang-2009.pdf,,"Wang, Jia-Wei",2009,,1097-4172 (Electronic),738-49,miR156-regulated SPL transcription factors define an endogenous flowering pathway in Arabidopsis thaliana,Cell,miR156-regulated SPL transcription factors define an endogenous flowering pathway in Arabidopsis thaliana,JOUR,https://www.ncbi.nlm.nih.gov/pubmed/19703399,138
